ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path,fill_haircut_pct,family_fill_haircut_pct,fill_trust
BTC_Reaper_Aggr_1_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_1_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,54.0,1080.0,165004.26,2006.0,0.82,1.16,860,2018-01-08 17:05:00,2026-08-12 16:41:20,81.6,4,5,1825.7,1.3,27,925.29,0.16,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_1_H1_BTCUSD.a_H1_OHLC.htm,78.0,154.0,low
BTC_Reaper_Aggr_2_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_2_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,40.0,800.0,115838.91,1159.98,0.55,3.3,633,2018-01-08 17:04:40,2026-08-10 16:35:40,66.0,5,7,748.56,1.55,23,187.5,0.11,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_2_H1_BTCUSD.a_H1_OHLC.htm,,154.0,low
BTC_Reaper_Aggr_3_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_3_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,50.0,1000.0,173083.62,858.24,0.34,11.5,1517,2018-01-08 17:04:40,2026-08-11 17:52:59,62.8,7,6,550.16,1.65,14,100.0,0.07,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_3_H1_BTCUSD.a_H1_OHLC.htm,116.0,154.0,low
BTC_Reaper_Aggr_4_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_4_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,285.0,5700.0,208998.74,2993.79,1.22,1.33,12521,2018-01-02 05:15:20,2026-08-12 23:58:59,87.5,7,9,1204.6,1.34,72,197.47,0.24,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_4_H1_BTCUSD.a_H1_OHLC.htm,182.0,154.0,low
BTC_Reaper_Aggr_5_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_5_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,130.0,2600.0,92266.42,5938.25,4.18,4.36,1545,2018-01-05 11:01:40,2026-08-11 12:47:40,49.6,9,9,2422.56,2.43,11,425.24,0.84,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_5_H1_BTCUSD.a_H1_OHLC.htm,15.0,154.0,low
BTC_Reaper_Aggr_6_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_6_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,100.0,2000.0,327098.27,3045.45,0.71,0.8,7163,2018-01-03 08:44:00,2026-08-12 22:25:59,20.6,10,7,1858.19,1.72,41,270.0,0.14,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_6_H1_BTCUSD.a_H1_OHLC.htm,224.0,154.0,low
BTC_Reaper_Aggr_7_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_7_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,148.0,2960.0,239539.01,1297.54,0.38,0.44,6705,2018-01-02 15:08:40,2026-08-12 17:15:20,24.0,8,5,1297.54,1.48,76,262.07,0.08,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_7_H1_BTCUSD.a_H1_OHLC.htm,191.0,154.0,low
BTC_Reaper_Aggr_8_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_8_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,151.0,3020.0,129846.21,3339.23,1.51,4.46,3445,2018-01-04 04:01:40,2026-08-12 16:31:40,45.8,16,10,2471.41,2.39,11,324.47,0.3,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_8_H1_BTCUSD.a_H1_OHLC.htm,,154.0,low
BTC_Reaper_Aggr_9_H1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_9_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,50.0,1000.0,48132.1,7347.35,5.56,6.73,741,2018-01-08 17:03:59,2026-08-10 18:24:40,66.5,6,11,3305.48,1.6,17,816.59,1.11,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BTC_Reaper_Aggr_9_H1_BTCUSD.a_H1_OHLC.htm,40.0,154.0,low
BitcoinReaper_10_H1_BTCUSD.a_H1_OHLC,BitcoinReaper_10_H1,Bitcoin Reaper,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,50.0,1000.0,96958.41,2213.46,1.73,3.36,2628,2018-01-03 08:49:40,2026-08-11 21:33:40,48.5,10,9,1072.14,2.09,8,217.9,0.35,C:\BulkBackTest\Updated set files\BTC_UBSonechart_Sets\1mOHLC reports\BitcoinReaper_10_H1_BTCUSD.a_H1_OHLC.htm,22.0,100.0,low
