ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,AdvScal_eurusd_H1_SL17,Advanced Scalper,EURUSD.a,H1,EURUSD.a,1,100000,5.0,36.0,720.0,36.22,430.24,0.43,0.51,38,2026-05-06 13:47:00,2026-08-07 15:30:10,84.2,2,2,270.48,1.5,12,239.43,0.09,C:\BulkBackTest\Proxy_3m_RealTicks\reports\AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS.htm
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,AdvScalp_eurusd_H1_SL14,Advanced Scalper,EURUSD.a,H1,EURUSD.a,1,100000,5.0,22.0,440.0,-846.52,1065.52,1.06,1.1,35,2026-05-06 13:48:07,2026-08-07 15:30:10,80.0,2,1,438.12,1.17,9,382.03,0.21,C:\BulkBackTest\Proxy_3m_RealTicks\reports\AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS.htm
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_REALTICKS,AdvScalp_eurusd_H1_SL18,Advanced Scalper,EURUSD.a,H1,EURUSD.a,1,100000,5.0,47.0,940.0,48.25,184.97,0.18,0.2,47,2026-05-01 14:19:57,2026-08-07 15:30:08,83.0,2,1,177.55,1.14,10,177.55,0.04,C:\BulkBackTest\Proxy_3m_RealTicks\reports\AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_REALTICKS.htm
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_REALTICKS,AdvScalp_eurusd_H1_SL22,Advanced Scalper,EURUSD.a,H1,EURUSD.a,1,100000,5.0,18.0,360.0,-1948.51,2091.08,2.09,2.13,43,2026-05-01 14:27:05,2026-08-07 15:30:10,76.7,3,2,747.34,1.43,9,685.01,0.42,C:\BulkBackTest\Proxy_3m_RealTicks\reports\AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_REALTICKS.htm
AdvScalp_usdjpy_H1_SL22_USDJPY.a_H1_REALTICKS,AdvScalp_usdjpy_H1_SL22,Advanced Scalper,USDJPY.a,H1,USDJPY.a,1,100000,5.0,16.0,320.0,-728.43,1963.57,1.95,2.12,45,2026-05-01 09:52:44,2026-08-12 20:40:37,75.6,2,2,859.33,1.1,6,456.46,0.39,C:\BulkBackTest\Proxy_3m_RealTicks\reports\AdvScalp_usdjpy_H1_SL22_USDJPY.a_H1_REALTICKS.htm
AdvScalp_usdjpy_H1_SL30_USDJPY.a_H1_REALTICKS,AdvScalp_usdjpy_H1_SL30,Advanced Scalper,USDJPY.a,H1,USDJPY.a,1,100000,5.0,28.0,560.0,1162.26,574.93,0.57,0.74,41,2026-05-01 09:55:54,2026-08-12 20:48:45,82.9,1,1,340.31,1.0,9,340.31,0.11,C:\BulkBackTest\Proxy_3m_RealTicks\reports\AdvScalp_usdjpy_H1_SL30_USDJPY.a_H1_REALTICKS.htm
AdvScalp_usdjpy_H4_SL14_USDJPY.a_H4_REALTICKS,AdvScalp_usdjpy_H4_SL14,Advanced Scalper,USDJPY.a,H4,USDJPY.a,1,100000,5.0,34.0,680.0,-2300.04,2501.62,2.5,2.55,52,2026-05-01 09:52:37,2026-08-12 21:13:03,36.5,6,6,747.61,2.75,3,164.23,0.5,C:\BulkBackTest\Proxy_3m_RealTicks\reports\AdvScalp_usdjpy_H4_SL14_USDJPY.a_H4_REALTICKS.htm
AdvScalp_usdjpy_H4_SL17_USDJPY.a_H4_REALTICKS,AdvScalp_usdjpy_H4_SL17,Advanced Scalper,USDJPY.a,H4,USDJPY.a,1,100000,5.0,69.0,1380.0,-827.64,985.47,0.99,1.04,51,2026-05-01 09:52:17,2026-08-12 21:12:16,39.2,6,6,295.29,2.21,3,89.53,0.2,C:\BulkBackTest\Proxy_3m_RealTicks\reports\AdvScalp_usdjpy_H4_SL17_USDJPY.a_H4_REALTICKS.htm
BTC_Reaper_Aggr_1_H1_BTCUSD.a_H1_REALTICKS,BTC_Reaper_Aggr_1_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,54.0,1080.0,590.91,1567.71,1.53,1.64,31,2026-05-01 15:34:15,2026-08-12 16:41:11,64.5,2,1,899.94,1.1,4,899.94,0.31,C:\BulkBackTest\Proxy_3m_RealTicks\reports\BTC_Reaper_Aggr_1_H1_BTCUSD.a_H1_REALTICKS.htm
BTC_Reaper_Aggr_2_H1_BTCUSD.a_H1_REALTICKS,BTC_Reaper_Aggr_2_H1,Bitcoin Reaper Aggressive,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,40.0,800.0,-1916.41,1964.41,1.96,2.11,24,2026-05-01 15:39:07,2026-08-10 16:36:00,33.3,5,6,850.08,2.67,2,212.55,0.39,C:\BulkBackTest\Proxy_3m_RealTicks\reports\BTC_Reaper_Aggr_2_H1_BTCUSD.a_H1_REALTICKS.htm
